cid	Job Title	STYRK 08	STYRK 08 label
66600	Organisasjonsrådgjevarar mm.	2421	Organisasjonsrådgjevarar mm.
269476	Planteinspektør	2422	Høgare saksbehandlarar i offentleg og privat verksemd
44973	Landbruksrådgiver (offentlig administrasjon)	2422	Høgare saksbehandlarar i offentleg og privat verksemd
66604	Høgare saksbehandlarar i offentleg og privat verksemd	2422	Høgare saksbehandlarar i offentleg og privat verksemd
66605	Personal- og karriererådgjevarer	2423	Personal- og karriererådgjevarer
20329	Personalrådgiver	2423	Personal- og karriererådgjevarer
66607	Rådgjevarar innen kompetanseutvikling	2424	Rådgjevarar innen kompetanseutvikling
67059	Rådgjevarar innen sal, marknadsføring mm.	243	Rådgjevarar innen sal, marknadsføring mm.
66610	Reklame- og marknadsføringsrådgjevarar	2431	Reklame- og marknadsføringsrådgjevarar
22578	Kommunikasjonsmedarbeider	2431	Reklame- og marknadsføringsrådgjevarar
30962	Markedsføringskonsulent (PR-rådgiver)	2431	Reklame- og marknadsføringsrådgjevarar
20171	Markedsføringskonsulent	2431	Reklame- og marknadsføringsrådgjevarar
22554	Kommunikasjonsrådgiver	2432	Informasjonsrådgjevarar
66612	Informasjonsrådgivere	2432	Informasjonsrådgjevarar
22552	Pressetalsmann	2432	Informasjonsrådgjevarar
66613	Salskonsulentar innan tekniske og medisinske produkt	2433	Salskonsulentar innan tekniske og medisinske produkt
203753	Salgsrepresentant (tekniske og vitenskapelige produkter)	2433	Salskonsulentar innan tekniske og medisinske produkt
20347	Legemiddelkonsulent	2433	Salskonsulentar innan tekniske og medisinske produkt
32532	ICT Account Manager	2434	Salskonsulentar innen IKT-produkt
142974	IKT-selger	2434	Salskonsulentar innen IKT-produkt
66614	Salskonsulentar innen IKT-produkt	2434	Salskonsulentar innen IKT-produkt
101891	Account Manager IKT	2434	Salskonsulentar innen IKT-produkt
67060	IKT-rådgjevarar	25	IKT-rådgjevarar
67061	Programvare- og applikasjonsutviklarar/analytikarar	251	Programvare- og applikasjonsutviklarar/analytikarar
158102	Virksomhetsarkitekt	2511	Systemanalytikarar/-arkitektar
22430	Systemanalytikere/-arkitekter	2511	Systemanalytikarar/-arkitektar
30168	Computer Scientist	2511	Systemanalytikarar/-arkitektar
233327	Sjefsarkitek IT	2511	Systemanalytikarar/-arkitektar
66615	SYSTEMANALYTIKER	2511	Systemanalytikarar/-arkitektar
22501	Løsningsarkitekt IT	2511	Systemanalytikarar/-arkitektar
66623	Programvareutviklere	2512	Programvareutviklarar
214301	Integrasjonsutvikler (DevOps)	2512	Programvareutviklarar
69724	Integrasjonsutvikler (Systemintegrerer)	2512	Programvareutviklarar
19989	Spilldesigner	2513	Nett- og multimediautviklarar
31722	Web Developer	2513	Nett- og multimediautviklarar
127085	Spillprogrammerer	2513	Nett- og multimediautviklarar
31599	Application Developer	2514	Applikasjonsprogrammerarar
66281	Andre programvare- og applikasjonsutviklarar	2519	Andre programvare- og applikasjonsutviklarar
54978	Software QA manager	2519	Andre programvare- og applikasjonsutviklarar
67062	Databasedesignarar, systemadministratorar mm.	252	Databasedesignarar, systemadministratorar mm.
66280	Databasedesignarar og -administratorar	2521	Databasedesignarar og -administratorar
22456	Systemadministrator	2522	Systemadministratorar
55005	Nettverksadministrator	2522	Systemadministratorar
76401	System- og nettverkadministratorer	2522	Systemadministratorar
32871	Nettverksansvarlege	2523	Nettverksansvarlege
66279	Tryggleiksanalytikarar mm.	2529	Tryggleiksanalytikarar mm.
269279	Systemansvarlig	2529	Tryggleiksanalytikarar mm.
67064	Juridiske, samfunnsvitskaplege og humanistiske yrke	26	Juridiske, samfunnsvitskaplege og humanistiske yrke
235354	Advokatfullmektig	2611	Juristar og advokatar
19584	Politiadvokat	2611	Juristar og advokatar
67065	Jurist (privat sektor og offentlige foretak)	2611	Juristar og advokatar
63048	Statsadvokat	2611	Juristar og advokatar
19587	Bedriftsjurist	2611	Juristar og advokatar
66271	Advokat	2611	Juristar og advokatar
23305	Compliance Officer	2611	Juristar og advokatar
19586	Forsvarsadvokat	2611	Juristar og advokatar
19583	Dommer	2612	Dommarar
19596	Notarius publicus	2619	Andre juridiske yrke
19582	Andre juridiske yrker	2619	Andre juridiske yrke
67066	Bibliotekarar, arkivarer mm.	262	Bibliotekarar, arkivarer mm.
118043	Museumsformidler	2621	Arkivarar og kuratorar
66270	Arkivarar og kuratorar	2621	Arkivarar og kuratorar
39498	Antikvar	2621	Arkivarar og kuratorar
